,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
,ACTIVE_ITEMS,ACTIVE_ITEMS,ACTIVE_ITEMS,ACTIVE_ITEMS_FROM_PURCHASERS,ACTIVE_ITEMS_FROM_PURCHASERS,ACTIVE_ITEMS_FROM_PURCHASERS,ACTIVE_ITEMS_WITH_PURCHASE_FROM_ADVERTISER,ACTIVE_ITEMS_WITH_PURCHASE_FROM_ADVERTISER,ACTIVE_ITEMS_WITH_PURCHASE_FROM_ADVERTISER,ACTIVE_SELLERS,ACTIVE_SELLERS,ACTIVE_SELLERS,USERS_PURCHASING,USERS_PURCHASING,USERS_PURCHASING
PLATFORM,Android,Web,iOS,Android,Web,iOS,Android,Web,iOS,Android,Web,iOS,Android,Web,iOS
MONTH,,,,,,,,,,,,,,,
2010-08-01,,48.0,,,0.0,,,0.0,,,12.0,,,0.0,
2010-09-01,,61.0,,,0.0,,,0.0,,,10.0,,,0.0,
2010-10-01,,50.0,,,0.0,,,0.0,,,10.0,,,0.0,
2010-11-01,,52.0,,,0.0,,,0.0,,,9.0,,,0.0,
2010-12-01,,116.0,,,0.0,,,0.0,,,31.0,,,0.0,
2011-01-01,1.0,142.0,,0.0,0.0,,0.0,0.0,,1.0,30.0,,0.0,0.0,
2011-02-01,3.0,450.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,3.0,0.0,0.0,0.0
2011-03-01,,271.0,39.0,,0.0,0.0,,0.0,0.0,,27.0,3.0,,0.0,0.0
2011-04-01,,70.0,1.0,,0.0,0.0,,0.0,0.0,,19.0,1.0,,0.0,0.0
2011-05-01,1.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0
2011-06-01,,2.0,,,0.0,,,0.0,,,1.0,,,0.0,
2011-07-01,,7.0,,,0.0,,,0.0,,,1.0,,,0.0,
2011-08-01,,139.0,11.0,,0.0,0.0,,0.0,0.0,,13.0,2.0,,0.0,0.0
2011-09-01,15.0,133.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,3.0,0.0,0.0,0.0
2011-10-01,7.0,269.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,6.0,0.0,0.0,0.0
2011-11-01,15.0,91.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,14.0,0.0,0.0,0.0
2011-12-01,8.0,30.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,16.0,0.0,0.0,0.0
2012-01-01,32.0,83.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,23.0,0.0,0.0,0.0
2012-02-01,4.0,7.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0
2012-03-01,33.0,16.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,20.0,0.0,0.0,0.0
2012-04-01,24.0,22.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,0.0,0.0,0.0
2012-05-01,24.0,10.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,18.0,0.0,0.0,0.0
