,sum,sum,sum,sum
,ADVERTISERS_RETURNING_FROM_PRIOR_MONTH,ADVERTISERS_RETURNING_FROM_PRIOR_MONTH,RETAINED_IAPER,RETAINED_IAPER
PROMO_TYPE,BUMP,SELLER_ADS,BUMP,SELLER_ADS
ACTUAL_MONTH,,,,
2016-07-01,284.0,,94.0,
2016-08-01,5247.0,,1275.0,
2016-09-01,10131.0,,2452.0,
2016-10-01,30337.0,,7274.0,
2016-11-01,31001.0,,7827.0,
2016-12-01,32651.0,,8473.0,
2017-01-01,32925.0,,8326.0,
2017-02-01,33564.0,,8646.0,
2017-03-01,32588.0,,9348.0,
2017-04-01,39443.0,,11194.0,
2017-05-01,42468.0,,12205.0,
2017-06-01,43985.0,,12356.0,
2017-07-01,49173.0,,15627.0,
2017-08-01,70699.0,,20160.0,
2017-09-01,69606.0,,20109.0,
2017-10-01,67694.0,,19478.0,
2017-11-01,65567.0,,19895.0,
2017-12-01,70436.0,2.0,21663.0,2.0
2018-01-01,70412.0,2394.0,20036.0,1002.0
2018-02-01,73532.0,6480.0,19949.0,2643.0
2018-03-01,66440.0,8726.0,20194.0,3475.0
2018-04-01,75237.0,12142.0,22445.0,4673.0
2018-05-01,69079.0,16494.0,20699.0,6294.0
2018-06-01,66155.0,19406.0,20144.0,7242.0
2018-07-01,67918.0,28018.0,19949.0,9440.0
2018-08-01,74654.0,24064.0,21037.0,8629.0
2018-09-01,73863.0,24473.0,19451.0,8118.0
2018-10-01,63922.0,23023.0,16638.0,7616.0
2018-11-01,50950.0,20891.0,13481.0,6443.0
2018-12-01,37551.0,21920.0,11330.0,6956.0
2019-01-01,36864.0,21615.0,10829.0,6547.0
2019-02-01,32895.0,23480.0,9315.0,7160.0
2019-03-01,23250.0,25488.0,7077.0,7689.0
2019-04-01,16263.0,32454.0,2893.0,6064.0
2019-05-01,0.0,0.0,0.0,0.0
