,sum,sum
,ADVERTISERS_RETURNING_FROM_PRIOR_MONTH,RETAINED_IAPER
ACTUAL_MONTH,,
2016-07-01,284,94
2016-08-01,5247,1275
2016-09-01,10131,2452
2016-10-01,30337,7274
2016-11-01,31001,7827
2016-12-01,32651,8473
2017-01-01,32925,8326
2017-02-01,33564,8646
2017-03-01,32588,9348
2017-04-01,39443,11194
2017-05-01,42468,12205
2017-06-01,43985,12356
2017-07-01,49173,15627
2017-08-01,70699,20160
2017-09-01,69606,20109
2017-10-01,67694,19478
2017-11-01,65567,19895
2017-12-01,70437,21664
2018-01-01,71238,20216
2018-02-01,76053,20524
2018-03-01,70441,21238
2018-04-01,81003,23889
2018-05-01,78431,23381
2018-06-01,78375,23738
2018-07-01,86300,24883
2018-08-01,89991,25524
2018-09-01,89838,23786
2018-10-01,79741,20971
2018-11-01,65721,17289
2018-12-01,54002,15732
2019-01-01,53069,14920
2019-02-01,50438,13679
2019-03-01,44828,12847
2019-04-01,45148,7679
2019-05-01,0,0
