,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
,A_LA_CARTE_ADVERTISERS,A_LA_CARTE_ADVERTISERS,A_LA_CARTE_ADVERTISERS,A_LA_CARTE_ADVERTISERS,FIRST_TIME_ADVERTISERS,FIRST_TIME_ADVERTISERS,FIRST_TIME_ADVERTISERS,FIRST_TIME_ADVERTISERS,REVENUE,REVENUE,REVENUE,REVENUE,TRANSACTIONS,TRANSACTIONS,TRANSACTIONS,TRANSACTIONS
PLATFORM,Android,Other,iOS,web,Android,Other,iOS,web,Android,Other,iOS,web,Android,Other,iOS,web
MONTH,,,,,,,,,,,,,,,,
2016-06-01,245.0,,69.0,,242.0,,68.0,,695.34,,206.65,,366.0,,135.0,
2016-07-01,2696.0,,3332.0,,2623.0,,3305.0,,12976.39,,15227.53,,5561.0,,6447.0,
2016-08-01,4125.0,,7756.0,,3588.0,,6981.0,,22279.52,,36973.55,,9748.0,,17045.0,
2016-09-01,13051.0,,22793.0,,12070.0,,20962.0,,63572.64,,108421.33,,27936.0,,49567.0,
2016-10-01,12644.0,209.0,24158.0,,9874.0,131.0,18752.0,,66229.83,820.29,119856.11,,29017.0,371.0,53989.0,
2016-11-01,12680.0,579.0,25452.0,2.0,9273.0,399.0,18553.0,2.0,65563.84,2408.96,123578.17,3.98,29016.0,1104.0,55783.0,2.0
2016-12-01,12888.0,568.0,26468.0,4.0,8996.0,346.0,18269.0,3.0,69047.0,2578.0,131755.14,11.95,30900.0,1200.0,60086.0,5.0
2017-01-01,12174.0,586.0,27399.0,2.0,8200.0,344.0,18500.0,1.0,66481.56,2550.18,137808.6,3.98,29244.0,1182.0,62740.0,2.0
2017-02-01,11802.0,614.0,26384.0,4.0,7765.0,352.0,16957.0,1.0,68156.71,2924.82,138266.75,21.93,29329.0,1318.0,61125.0,7.0
2017-03-01,14455.0,730.0,32088.0,7.0,9674.0,436.0,20960.0,4.0,87062.41,3838.91,172748.9,19.91,37359.0,1709.0,76310.0,9.0
2017-04-01,15656.0,845.0,34323.0,2.0,10162.0,497.0,21685.0,1.0,92214.3,3820.34,182656.81,3.98,39970.0,1766.0,81519.0,2.0
2017-05-01,16099.0,830.0,35945.0,6.0,10129.0,443.0,22201.0,3.0,95110.48,4325.99,197238.79,21.91,41152.0,2001.0,87321.0,9.0
2017-06-01,17821.0,897.0,40129.0,5.0,11360.0,482.0,25308.0,4.0,104856.83,5681.85,217999.66,11.95,45317.0,2615.0,96634.0,5.0
2017-07-01,26633.0,1316.0,57271.0,6.0,17959.0,743.0,37715.0,5.0,164588.06,7291.02,333147.91,17.92,71394.0,3298.0,147609.0,8.0
2017-08-01,26694.0,1319.0,56292.0,6.0,16630.0,749.0,34252.0,5.0,171331.75,6854.75,329793.92,21.92,74125.0,3125.0,144908.0,8.0
2017-09-01,26098.0,1276.0,53839.0,8.0,15465.0,643.0,31050.0,6.0,161158.11,6865.01,305665.3,23.91,70289.0,3199.0,136770.0,9.0
2017-10-01,25268.0,1271.0,52273.0,2.0,14375.0,631.0,29479.0,2.0,154597.01,9118.06,299865.83,12.93,67199.0,4294.0,134317.0,7.0
2017-11-01,27146.0,1266.0,56113.0,8.0,15614.0,617.0,31537.0,4.0,164442.53,8915.27,306433.32,36.82,71847.0,4273.0,138568.0,18.0
2017-12-01,27771.0,1313.0,58064.0,6.0,15075.0,617.0,31479.0,5.0,185183.36,8804.84,341391.52,23.93,75264.0,4116.0,144648.0,7.0
