,sum,sum,sum,sum
,FIRST_TIME_ADVERTISERS,INTERNALADS_ADVERTISERS,REVENUE,TRANSACTIONS
MONTH,,,,
2016-06-01,0,310,901.99,501
2016-07-01,0,6022,28203.92,12008
2016-08-01,0,11863,59253.07,26793
2016-09-01,0,35774,171993.97,77503
2016-10-01,0,36871,186906.23,83377
2016-11-01,0,38536,191554.95,85905
2016-12-01,0,39752,203392.09,92191
2017-01-01,0,39984,206844.32,93168
2017-02-01,0,38623,209370.21,91779
2017-03-01,0,47049,263670.13,115387
2017-04-01,0,50576,278695.43,123257
2017-05-01,0,52660,296697.17,130483
2017-06-01,0,58570,328550.29,144571
2017-07-01,0,84805,505044.91,222309
2017-08-01,0,83908,508002.34,222166
2017-09-01,0,80832,473712.33,210267
2017-10-01,0,78410,463593.83,205817
2017-11-01,0,84118,479827.94,214706
2017-12-01,0,86700,535403.65,224035
2018-01-01,0,91543,576321.08,218292
2018-02-01,0,84184,581098.29,201971
2018-03-01,0,97696,725148.94,242106
2018-04-01,0,93640,776263.08,224692
2018-05-01,0,94151,835959.93,220507
2018-06-01,0,103716,888532.68,237232
2018-07-01,0,108140,926008.0,242500
2018-08-01,0,107530,962453.39,244461
2018-09-01,0,96010,867348.0,213700
2018-10-01,0,85651,908493.37,189063
2018-11-01,0,82761,1016820.54,167746
2018-12-01,0,89215,1155598.28,174672
2019-01-01,0,90647,1252463.46,170554
2019-02-01,0,84320,1223611.03,153097
2019-03-01,0,97335,1491003.3,174770
2019-04-01,0,37444,506591.86,55314
