,sum,sum,sum,sum
,A_LA_CARTE_ADVERTISERS,FIRST_TIME_ADVERTISERS,REVENUE,TRANSACTIONS
MONTH,,,,
2016-06-01,310,310,901.99,501
2016-07-01,6022,5928,28203.92,12008
2016-08-01,11863,10569,59253.07,26793
2016-09-01,35774,33032,171993.97,77503
2016-10-01,36871,28757,186906.23,83377
2016-11-01,38536,28227,191554.95,85905
2016-12-01,39752,27614,203392.09,92191
2017-01-01,39984,27045,206844.32,93168
2017-02-01,38623,25075,209370.21,91779
2017-03-01,47049,31074,263670.13,115387
2017-04-01,50576,32345,278695.43,123257
2017-05-01,52660,32776,296697.17,130483
2017-06-01,58570,37154,328550.29,144571
2017-07-01,84805,56422,505044.91,222309
2017-08-01,83908,51636,508002.34,222166
2017-09-01,80832,47164,473712.33,210267
2017-10-01,78410,44487,463593.83,205817
2017-11-01,84118,47772,479827.94,214706
2017-12-01,86700,47176,535403.65,224035
2018-01-01,91543,53159,576321.08,218292
2018-02-01,84184,45794,581098.29,201971
2018-03-01,97696,54558,725148.94,242106
2018-04-01,93640,48382,776263.08,224692
2018-05-01,94151,47903,835959.93,220507
2018-06-01,103716,55580,888532.68,237232
2018-07-01,108140,57634,925988.01,242499
2018-08-01,107526,55747,962313.46,244454
2018-09-01,95510,47366,852815.27,212973
2018-10-01,78862,35055,741996.66,180734
2018-11-01,63981,25319,592912.6,146540
2018-12-01,63153,25117,577807.32,145768
2019-01-01,60374,24598,595951.88,137712
2019-02-01,52983,21398,548908.55,119345
2019-03-01,58694,25672,650083.97,132703
2019-04-01,23603,8662,220055.2,40980
